,author,content,href,exact_timestamp,exact_date_time,relative_date
0,Liên Bùi,"Mọi người cho e hỏi tí ạ. 
Bay vietjet từ Hà Nội vào Phú Quốc giờ có hay bị delay không ạ? 
E xin cảm ơn mn ạ",https://www.facebook.com/groups/GhienPhuQuoc/posts/2308086046020893/?__cft__[0]=AZUKYSS_eqJlTxzzK9-XOKandykuHIl-vQy0FOAOJ3QKh7vv0WbxZnnd4Fhv3lwSEfVIY4yO9EIRS-nKVj39KPkjTpAfSkEBHEHBPGKF_PZvbQ7U91SyfrSdrMNwcGdx2D0r5nTp13tVAk7Vu1yIjwd9O329Hx0Fk-07iZmEiImiog9vkBjUSnJ31We9LX6QUN8&__tn__=%2CO%2CP-R,1663952361.0,2022-09-23 23:59:21,16 giờ
1,Ngọc Yến Trà,10/10 này mik sẽ cùng gia đình 6 ng muốn đến Phú quốc để du lịch đặc biêt muốn tìm một khách sạn đẹp tiện cho việc đi lại thăm quan 4 ngày /3 đêm mong mọi người tư vấn giúp ạ,https://www.facebook.com/groups/GhienPhuQuoc/posts/2300554240107407/?__cft__[0]=AZUjt3xabyI1-9ltE77zcLW3EkrTOOFiS2UcE_L2IHNLCMB5DiCjaPq9ukSpoeRJZ84IEjfjJ57iddzdGn2R5h83zRVgUAXI4eE6pk1YSl8TAPBItxghNEOL80UvODdi0gnsq394rorOEj9_Fqbf8nY4cDckavSpNzWk7wzbPsYHQCveziU1v-Yt6S7ddnPm4Ms&__tn__=%2CO%2CP-R,1663405162.0,2022-09-17 15:59:22,1 tuần
2,Tây Độc,em cần combo hà nội - phú quốc chọn gói cho 2 người đi 4n3đ ạ. mong mn tư vấn,https://www.facebook.com/groups/GhienPhuQuoc/posts/2304319756397522/?__cft__[0]=AZVoclOVgJMZwPzBA6ThnPwYcgtIpIISd-T4BVZ94GmeTZTcHHw94tOmB5KCoDW0IJCYM9msZSoSfayqN9le9YDyIh9I7IrfC3-N9jTlTPz5VhpgKcmIcm4OvSO_lWY60CrAST9kByleJUfkiBc24rtQCleMJJ_D_IKJjjTtWCHJxdcR8YXM1TmyKFEgA2_TjI4&__tn__=%2CO%2CP-R,1663664363.0,2022-09-20 15:59:23,4 ngày
3,Nguyễn Linh,"Cuối tuần này em đi Phú Quốc, mọi người cho em hỏi thời tiết hiện tại ở PQ như thế nào có mưa không ạ, cho em xin vài địa điểm tham quan và ăn uống ạ",https://www.facebook.com/groups/GhienPhuQuoc/posts/2305511496278348/?__cft__[0]=AZUHCynTEMpcxrsG-yoBEgbsLTTy-5ndP3LYiawTG5BzreqEY6frTVN1e2EfWUuXlWymU8o3B26FVoTQx1hWJPOOBr1Qu2RY-anynSk2cjM1KZ2adWFXXh09Cs8_MUODB05HvMEUrBOxdwuKLTtftMxSxy5kBUF2r8Qx-89J88oPPYQv3NOP3ZCiAutyx1dPQ5o&__tn__=%2CO%2CP-R,1663750765.0,2022-09-21 15:59:25,3 ngày
4,Trang Hà,"đầu tháng 10 này em đi phú quốc các bác cho em xin ít rv về các địa điểm đi như nào cho tiện nhất với ạ !! Em đi 3 ngày ạ , với vé vinwonders có kèm voucher ăn không ạ ? bác nào bán cho em xin giá với ạ !! Tkss ạ",https://www.facebook.com/groups/GhienPhuQuoc/posts/2308116436017854/?__cft__[0]=AZWWqfjlU2MyiRHHX6p3abMnRbsfq1VU6P1Bp3EAElbPfvuODzmo5elCB1S4GKdVqlteGyqfW77gEiwdGD5Z0QoLz9Kkx5gwmJjGEOm7IfEEodR6HWpo_ybRPV9Tcjku2PzOy6IHXOxr2qLhHFUE5Q5JVrQ6UYpdceJxyhwL_DaKv0HQqLAoIAqSGvPhzidMEYo&__tn__=%2CO%2CP-R,1663981166.0,2022-09-24 07:59:26,8 giờ
5,Mai Thương,"Anh chị nào có tour 4 đảo và vé vinwonder tốt giới thiệu em với ạ, với cả em muốn thuê xe máy vào ngày 27/9",https://www.facebook.com/groups/GhienPhuQuoc/posts/2305412286288269/?__cft__[0]=AZXXW3Apop5OXzgBdcz-T9x3x_hKtA4PPxn7niMuQvV9KGMzteQookfJCm3Uw2RaVT_w0WXIspXVAQ3DQOQIOVHHLECToNVvenv84OXK7oI5F2Vd01XOzwWHL-w7H9w76I3aoOQJwELcobger-Z5PzL3ZQxfz8EHVkJKZT9J--8O4Sqe5eYCtJf092psX7JD8PU&__tn__=%2CO%2CP-R,1663750768.0,2022-09-21 15:59:28,3 ngày
6,Thao Nguyen,"Nhà mình sắp đi Phú Quốc, lần đầu đi nên nhờ m.n tư vấn lịch trình giúp. Nhà có 2 ông bà, 2 vợ chồng và 1 bé gần 2 tuổi. Đi 4N3D từ 5-8/11. Mình dự kiến lịch trình như sau
Ngày1: 9h35 xuống sân bay, đi xe về Vin,chơi ở Vin đến 19h30 xem xong show đến Grand world chơi
Ngày 2: ăn sáng xong, sang Safari chơi, 11h di chuyển sang grand world ăn trưa, thuê home stay theo giờ. 2h đi chuyển đến Rạch vẹm. 3h đến Rạch vẹm, ngắm biển, picnic. Xong di chuyển về thị trấn Dương Đông check … Xem thêm",https://www.facebook.com/groups/GhienPhuQuoc/posts/2305882806241217/?__cft__[0]=AZUNU3o7pIqeE8PXJZQROMcE8UDM1USPmNCDpGusz3xHBkHiXZvMmYvK4lU_gJucXGTceQyhFwZFeEZzbMAHXeuRPIWyRO14SzxrXCSAFRvy0PyJ3xINhX7MO-l7RZLkFBwT9HRzEepbuNWgMeApzkcI1LrpaRcXZ9FR72jGKRG16HvgHUvRqgsJKOtvOiNBRc0&__tn__=%2CO%2CP-R,1663837169.0,2022-09-22 15:59:29,2 ngày
7,Hoa Nguyen,"Mình đi phú quốc lần đầu nhờ mọi ng chia sẻ dịch vụ ăn uống ks các điểm lên tham quan giúp mình nhé
Mình dự kiến đi 3 ngày",https://www.facebook.com/groups/GhienPhuQuoc/posts/2308115422684622/?__cft__[0]=AZVkrbe_nYkxHaXYGeRrM1gywgZ9jSduXrJVoKK4Lp8CjBgxBUDQmfV3X7R5laYC4r4I1ZD1dm-nyL0xjLZnAeEf5TyiOM-hHvY2bRNMNQ0d9yzVaw8SwXwI7kypBqq0JyH7V7X3HJTId9yr6vQtxUElJZaSokiiIzrzHhSLsg60_k6rF1gOS8wQ2yt8tGsovdU&__tn__=%2CO%2CP-R,1663952370.0,2022-09-23 23:59:30,16 giờ
8,Phuong Mai Nguyen,Mình cần ks hoặc villa chung cho gia đình 11 người ở Phú Quốc 3 đêm (28-29-30/9). Ai có giá tốt ib giùm mình nhe. thanks,https://www.facebook.com/groups/GhienPhuQuoc/posts/2307441176085380/?__cft__[0]=AZWSkSzN-zzYFADWT-TdWk6FEJCQMw9XBfwKq2ykMdzjZNLt6pigsY4HyQmUC1uTPp8-RBXfoQLxEQVIr_jjGg7cZHUL2t0o6_JRrisGkFv433zeYKSv0h7YCRUkdc5_rSQ285MiZKEA6lisla1NLljn6CnBdJQangg2cXTP8xjAO2YxwZP2c3GilN3R8R59lZk&__tn__=%2CO%2CP-R,1663923572.0,2022-09-23 15:59:32,1 ngày
9,Kim Viên cùng với Ghiền Đi Biển Travel., Một chiếc Review siêu chân thật sau chuyến đi 3 ngày 2 đêm cùng Team  #GHIỀN_ĐI_BIỂN_Travel..,https://www.facebook.com/groups/GhienPhuQuoc/posts/2308724079290423/?__cft__[0]=AZWvBMJC7tecmwxnEroDY2XbDLN1VrHEIz4wNH40uCIlFN1geW38X3hP9kDp07AWSssQj3o3JVbDARA1NpCzyCyygmnCR7pAuJXBfc6NN18qVwaWzJRP-6ICozsf2E0UZldoUfCR2ze7BzIJIPgg8VIvZFAMxSyX7-GhofHKbi2WGadtOdTozh69jVFKsxQlTyk&__tn__=%2CO%2CP-R,1664009073.0,2022-09-24 15:44:33,15 phút
10,,,,,,
11,Huy Luu,"Cảnh báo!
Tôi cũng từng đi chơi nhiều nơi và cũng từng đến Phú Quốc nhiều lần nhưng chưa bao giờ bị ức chế khi ăn tại quán ăn NUNA trên đường Nguyễn An Ninh, Phú Quốc. Thực sự cách đây vài năm tôi đã từng ăn tại quán ăn này, giá cả và thái độ phục vụ hồi đó khá tốt. Vì lần này tôi đi nhiều nơi và ăn hải sản cũng khá nhiều rồi nên muốn ăn cơm nên quay lại quán ăn NUNA, nhưng lần này thực sự là một trải nghiệm tồi tệ. Nhà tôi đi gồm 3 người lớn và 1 trẻ con, tôi gọi 1 khúc cá T… Xem thêm",https://www.facebook.com/groups/GhienPhuQuoc/posts/2306994502796714/?__cft__[0]=AZV5G12qM_4oQCmERsumFZKmnZY63O9_KqZBFe7PZee_x9kAWLId_8RmcYJ3NWmcezsjieWfKVYzTW2bBEDULqYuvm3DjFlU0dDzQ5RlYGQKtJnTgOmArQLOiXzxBXe69HkK2GmvixUpYLKSxI_DoExz-ffZZW3hLbiVA3SNo-2dcP52g4iyGPCXVQiR9lsDKFk&__tn__=%2CO%2CP-R,1663923578.0,2022-09-23 15:59:38,1 ngày
12,Nguyễn Minh Đức,"Sau rất nhiều gian khổ. Bỏ 150k ra để xem Sắc màu venice trên lầu. 
Hơi đau ví mà ok nha. Quán gì quên tên r ạ. 
#reviewdulichphuquoc
#ghiendibien",https://www.facebook.com/groups/GhienPhuQuoc/posts/2308415122654652/?__cft__[0]=AZXfQ3akRpS-5jnQbGSaW0DrM5i-YtwFNZiyLoe7_JVxsHnyfpLPnmn-W14nMOYtP8GN0dd5HFeqHhgRuolBrBxs6giinXQ3FA2NxjyB6T19o7G7izBTzJy39y7nl5q8Bh-OslwXHVtxm8MrCELQYMnnobeH66mTsAAl9uGqrFInYWUrDfem41nkkrGxBdEPeeA&__tn__=%2CO%2CP-R,1663984780.0,2022-09-24 08:59:40,7 giờ
13,Hà Phươngg,Ib ạ,https://www.facebook.com/groups/GhienPhuQuoc/posts/2299349676894530/?__cft__[0]=AZXHKA2t_ITXTTvP0zzcbAgENFDkmdUiOnujH9a92W8mBwxSlgD1dbwAuvTRSRP8KWGY1_I1C98_JEm34SapVi1nUpC1AoHyxZB_ZH14FM4qdRACrbsyuU5kLm0JQN5WpoxXrtpsFwKW_6SNbMxa3-6qOtr__HOQkizzsLE2f1bE4yohV-N8wIodAkye85X77SI&__tn__=%2CO%2CP-R,1663988381.0,2022-09-24 09:59:41,6 giờ
14,Người tham gia nhóm,"Cho em xin địa điểm ăn uống gần VinOasis với ạ, ăn trưa và tối em nên ăn ở đâu ạ ? Em xin cám ơn",https://www.facebook.com/groups/GhienPhuQuoc/posts/2307507119412119/?__cft__[0]=AZV7TT_aqzTzv8xguTYPBVzJicQHHw8EzzN-jez4SozPxa1-kgW0vgVVQYzPcTz_gxUbCCrrIWM-srG2eWtoC9SEERvYGLzLuvA6aY9WRFYufv-XSgiMdOmpnHqs5uxMWBqICJ7XXfY15e9R0TzYcbHT70UDDqV0YQO3IMB_Ge9GOS-UDP04MPfp1UI6k0RPuIDrxlOprIU4SN5CU6NPhGQj&__tn__=%2CO%2CP-R,1663923582.0,2022-09-23 15:59:42,1 ngày
15,Liên Bùi,Đầu tháng 10 e đi Phú Quốc. E cần tìm khách sạn giá sinh viên ở gần chợ đêm,https://www.facebook.com/groups/GhienPhuQuoc/posts/2306285039534327/?__cft__[0]=AZVOFufH_E3S3wZ0sLz15FJbxeMgFu8Z-P9r-5ot8maam2n8Vfvpxgj_FcO00eHNkkmKGcETVIrnDXDFYZ5aioR4FlyLonk1sOk5kwpXHYSVU9qwMmI93iDN3QXfSWR4TBVob4FCLdz_M-wigDQBWFNqN2aVFBHrf9LuTfemynA0kt0UcDIAYyNUg-IvGSrLcRg&__tn__=%2CO%2CP-R,1663837184.0,2022-09-22 15:59:44,2 ngày
16,Dung Nguyen,"Em cần khách sạn/ homestay tại Grand World Phú Quốc 16/12 - 17/12 cho đoàn 8 người lớn, 6 trẻ em trên 4 tuổi ạ.
Anh chị nào có phòng thì inbox em với nhé ạ.
Em cảm ơn a",https://www.facebook.com/groups/GhienPhuQuoc/posts/2306740732822091/?__cft__[0]=AZVqtNODYumB11NYx8yxDOdA5ejJeRADsT49BPkb_smcEC1To01OmjeNNMOywLzJgvodvHIMJGXSdlrbcTCmuHgTeQRia2OTD55UHTf4LH1IhzIOQFwn8bkadkpSJXWK904lQpx5dprVhFiD3Ya8V0QuRInHeIt52xnyI6GFZup_zPgpFZlq2JWDkXsW-bNxY9c&__tn__=%2CO%2CP-R,1663837185.0,2022-09-22 15:59:45,2 ngày
17,Minh Hồng,"Sắp tới vào ngày 20/10 mình có dự định ra Phú Quốc 5n4d
ai có chương trình tour + ks + nhà hàng nào ổn giới thiệu mình với ạ",https://www.facebook.com/groups/GhienPhuQuoc/posts/2306610822835082/?__cft__[0]=AZVzd9cK9ZVDw4vhTaUgeLGi9aTTZnogcqbBUER8G8wEThifRQIcpwI4BXJdAlZJ2EgmnmkmsgmQB4Xa1WTPG14M9FUbcVPyUitTv4UbyA6x_GLcjmeUhlBTgIhAiiGdmfe7qGIjHGD2rkw3VjlRSekIPFIqJmeA9W1hG_SDXMhxvzl6CPGCr5FwdnnY1QhCg1o&__tn__=%2CO%2CP-R,1663837191.0,2022-09-22 15:59:51,2 ngày
18,Nam Anh,"M cần tìm khách sạn 4,5 sao trung tâm Phú Quốc ngày 5-8/10. B nào có giá tốt ib với ah.",https://www.facebook.com/groups/GhienPhuQuoc/posts/2305819062914258/?__cft__[0]=AZWyGxa8bzmwXypJ9DiqtiCUL6UuZUpRlMvyeIWTCUamuYYBy3ujv470-X_KkjzkLlyJdopRCtCZ8zHCwOq1BO5t5YwyrEEcO-KqDwDUtDowtt32Xq4fxLEutORTlSPf1yEJi5-Us1vp8gDkuqqUYwcoPlry92WLFQBn8QzUGnvkLJV5UkZNdz4tSXcQnqI1dQU&__tn__=%2CO%2CP-R,1663750792.0,2022-09-21 15:59:52,3 ngày
19,Thanh Tâm,"Sắp tới ngày 14/10 e có plan đi Phú Quốc ko biết thời tiết mùa này có mưa nhiều ko ạ?
V/c em đi có bé nhỏ 2 tuổi nên anh chị nào có biết resort 4, 5
nào đẹp và địa điểm đi chơi hợp lí cho bé nhỏ review cho e với ạ! Em cảm ơn",https://www.facebook.com/groups/GhienPhuQuoc/posts/2306305642865600/?__cft__[0]=AZV1fNawKk2Ss9-CWDqAYH5k-Fq-NA3VVV2wN2zcv96bUng-Dx0FzQZExvmuYl0I2NCXHwyFnh3AtecJiUm0S5_UHXlNhNjqyjqhC50QkGS8tvZ_TdKdZfV8msdR6q2hNsk-ZkauCIUuGj3wBD0z7OqxuYfrE8E7ebtZRV3fD8brWwE2c3qrlLvTnubx0e19jnI&__tn__=%2CO%2CP-R,1663837194.0,2022-09-22 15:59:54,2 ngày
20,Kim Viên,𝐒𝐔𝐍𝐒𝐄𝐓 𝐁𝐄𝐀𝐂𝐇 𝐑𝐄𝐒𝐎𝐑𝐓 𝐀𝐍𝐃 𝐒𝐏𝐀 𝐏𝐇𝐔 𝐐𝐔𝐎𝐂,https://www.facebook.com/groups/GhienPhuQuoc/posts/2066311526865014/?__cft__[0]=AZVxfrkoqE33G_AQ9g4T_cmQvRiCfzTgLRqFxhsIIZ2VRJIuTKlJu81MkuqZNh5tCZ6NFgAtO3Tn5a8W0nf1RENI7DdKNlYNXexDpNdj6rLLQdtrAO31dF-0zMr7ZSaEhOMBvfM7fHBEZJKg0_iLO2KOJ58mdBQ5tG3t0joCkVb4TbL76F4uGnfuNbJc34cdyTE&__tn__=%2CO%2CP-R,1638003595.0,2021-11-27 15:59:55,43 tuần
21,Ghiền Đi Biển Travel đã chia sẻ một bài viết.,#Phú_Quốc vẫn đẹp lắm khách ơi ...,https://www.facebook.com/groups/GhienPhuQuoc/posts/2306022019560629/?__cft__[0]=AZW10rXKxGzKoKiJZX2NJKrw9B9BkH__KcNnlbvfDOLd5RsurR2yyoInUkAPi3ncLEyg5CsiHfs8R-2dpQZcrre7adz1HgONYiy2ExjS38ThJ7Q4eG7gpmQScgBUa0kFRh6TB_vgTRdIpSWUD0JICdki5JDrbQb8i3shOutyI-CmWIOtc2SnzGaB_JL7p9OiOcJGCUIoCM99yk6pQruJJOzR&__tn__=%2CO%2CP-R,1663750796.0,2022-09-21 15:59:56,3 ngày
